Product Name,ASIN,Price
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"JYX Best Portable Bluetooth Speakers with 2 Wireless Microphones,5200mAh Karaoke Party Speakers High Bass and Sound Bar Box Set Rechargeable PA System with TWS,FM, REC, Smart Speaker for Adults",B0CKTD3YFT,"₹17,499.00"
"SONY New Launch ULT Field 1 Wireless Ultra Portable Bluetooth Compact Speaker with ULT Button for Massive Bass, 12hrs Battery Life IP67 Waterproof, Dustproof, Hands-Free Calling(with Mic) - Black",B0CXL4FQBK,"₹10,988.00"
"Tribit XSound Plus 2 30W 5.3 Bluetooth Wireless Speakers,Powerful Louder Stereo Sound with Bass-Enhanced XBass Function,24H Playtime,IPX7 Waterproof,Built in Mic,150ft BT Range for Home/Outdoor,Black",B0CT5F1SW4,"₹6,599.00"
"boAt Stone 1200 14W Bluetooth Speaker with Upto 9 Hours Battery, RGB LEDs, IPX7 and TWS Feature(Maroon)",B08PDHLDHX,"₹3,999.00"
"Portronics Radiant 30W Wireless Bluetooth Portable Speaker With In-Built Mic,6 Hours Playtime,HD Clarity Sound,Dual Driver,RGB LEDs,TWS Connectivity,BT5.3v,USB Drive,Aux in,Type C Fast Charging(Black)",B0CRZ4D6WZ,"₹2,799.00"
"pTron Newly Launched Fusion Beam V2 16W Bluetooth Soundbar Speaker, Stereo Sound, RGB Lights, Metal Grill, Soundbar for Phone/TV/Laptop/Tablets, BT5.3/Aux/TF Card/USB Playback & TWS Pairing (Black)",B0D3FG6HW9,₹799.00
"Bose SoundLink Revolve+ (Series II), Portable and Long-Lasting Bluetooth Speaker with 360° Wireless Surround Sound, 17 Hours of Battery Life, Water and Dust Resistant - Triple Black",B08SCHWG3Y,"₹29,399.00"
"ZEBRONICS Pluto 2-2.1 Channel Desktop Speaker with 15 watts Output, Bluetooth 5.0, USB, mSD, FM, 3.5mm Jack Line Input, Inbuilt Volume Control, USB Powered, RGB Lights",B0CL2HP1J4,"₹1,099.00"
"boAt Stone 1010 14W Bluetooth Speaker with 8 Hours Playback, Bluetooth v5.0 & IPX5(Navy Blue)",B0BSH5YJRM,"₹2,999.00"
